id,schoolName,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,AVERAGE,RegionName,Lan,Lon,Add1,Add2,Add3
160,Linda Esperanza Marquez High C School of Social Justice,16,15,16,17,16.0,Westlake North,34.0577229,-118.2617234,Lucas Avenue,Westlake North,Los Angeles
161,Littlerock High,16,15,16,16,15.75,Littlerock,34.5739285,-117.9370741,East Avenue R,Littlerock,Los Angeles County
162,Los Altos High,21,21,21,22,21.25,Hacienda Heights,34.0077519,-117.977114,Los Robles Avenue,Hacienda Heights,Los Angeles County
163,Los Angeles Center for Enriched Studies,27,28,28,27,27.5,Mid City,34.043846,-118.3715758,West 18th Street,Mid City,Los Angeles
164,Los Angeles High School of the Arts,22,22,18,20,20.5,Koreatown,34.0598891,-118.2968022,701,South Catalina Street,Koreatown
165,Lynwood High,18,17,17,17,17.25,Lynwood,33.9309801,-118.1894216,East Imperial Highway,Lynwood,Los Angeles County
166,Malibu High,26,26,24,24,25.0,Western Malibu,34.023893,-118.8270494,Morning View Drive,Western Malibu,Malibu
167,Manual Arts Senior High,15,14,16,16,15.25,South Los Angeles,34.0082618,-118.2921733,Vermont Avenue,South Los Angeles,Los Angeles
168,Marco Antonio Firebaugh High,18,17,17,17,17.25,Lynwood,33.91928480000001,-118.182233,Martin Luther King Junior Boulevard,Lynwood,Los Angeles County
169,Mark Keppel High,27,27,27,26,26.75,Alhambra,34.0711305,-118.1144932,East Hellman Avenue,Alhambra,Los Angeles County
170,Marshall Fundamental,24,23,23,23,23.25,Casa Grande,34.1634404,-118.1125495,Allen Avenue,Casa Grande,Pasadena
171,Math and Science College Preparatory,16,16,18,17,16.75,South Los Angeles,34.0322392,-118.3190075,West Adams Boulevard,South Los Angeles,Los Angeles
172,"Math, Science, & Technology Magnet Academy at Roosevelt High",19,19,19,19,19.0,Central LA,34.0388336,-118.2108688,South Mathews Street,Central LA,Los Angeles
173,Mayfair High,25,24,22,23,23.5,Lakewood,33.8642222,-118.1161944,Woodruff Avenue,Lakewood,Los Angeles County
174,Maywood Academy High,18,16,17,18,17.25,Maywood,33.9822508,-118.1887579,Pine Avenue,Maywood,Los Angeles County
175,Middle College High,19,19,19,18,18.75,South Los Angeles,33.9286732,-118.3065327,South Los Angeles,Los Angeles County,California
176,Millikan High,24,23,23,23,23.25,Los Altos,33.8079634,-118.1109455,Snowden Avenue,Los Altos,Long Beach
177,Mira Costa High,28,28,27,27,27.5,Manhattan Beach,33.8733159,-118.3898531,Artesia Boulevard,Manhattan Beach,Los Angeles County
178,Monrovia High,21,19,19,19,19.5,Monrovia,34.1462591,-118.0171993,West Colorado Boulevard,Monrovia,Los Angeles County
179,Montebello High,18,18,19,18,18.25,South Montebello,34.0156107,-118.1228837,West Cleveland Avenue,South Montebello,Montebello
180,Morningside High,17,15,16,16,16.0,Inglewood,33.9399238,-118.332757,Yukon Avenue South,Inglewood,Los Angeles County
181,Mountain View High,21,19,19,19,19.5,Mountain View,44.0768938,-121.2661547,Northeast 27th Street,Mountain View,Bend
